Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
beta_327, 1.05917396706, 0.244387405796, 0.0244868768924, 0.542474968577, 1.19028501098, 0.542474968577, 1.15822156323, 1.177080603, 1.18173244916, 1.19370763925
beta_328, -0.418677769976, 0.144379256181, 0.0130587652425, -0.681247414482, -0.354875775783, -0.681247414482, -0.386627540989, -0.374119000504, -0.360493877657, -0.354875775783
beta_329, 2.99163877054, 0.534030270289, 0.0535408028562, 1.87229751999, 3.30071349432, 1.87229751999, 3.19301592593, 3.24824881881, 3.27764529042, 3.30287871525
beta_330, 1.89321772334, 0.166227665146, 0.0154859840154, 1.59401051354, 2.03613131299, 1.59401051354, 1.88650855649, 1.92850186292, 2.01087749444, 2.03624587888
beta_331, -0.717193979465, 0.0539771733321, 0.00493038930367, -0.737270027726, -0.652607968338, -0.778278695633, -0.734208134662, -0.726144201534, -0.714023924932, -0.652607968338
beta_332, 0.612087127604, 0.189555625854, 0.0173679330858, 0.362930659282, 0.717567011847, 0.362930659282, 0.643525062463, 0.680964817538, 0.694883204956, 0.725989071178
beta_333, -0.947592751727, 0.0847048933969, 0.00772775791513, -1.09685330592, -0.89809816976, -1.09685330592, -0.940034076303, -0.923197468255, -0.9041170435, -0.896876995173
beta_334, -0.321070744969, 0.0560155567964, 0.00562119734024, -0.355096049186, -0.209775467103, -0.355096049186, -0.350129275442, -0.34772109946, -0.341908651461, -0.209775467103
beta_335, 1.05073097593, 0.0706160621235, 0.00690086565724, 0.922516249621, 1.10169512967, 0.922516249621, 1.05683746526, 1.08516862496, 1.09326725203, 1.10230479582
beta_336, -1.44663250049, 0.0636982383164, 0.00517064589346, -1.46647188239, -1.43380081396, -1.46647188239, -1.46138593067, -1.44609373582, -1.43904214089, -1.43354357744
beta_337, -0.651718844664, 0.216156431886, 0.0200940757132, -0.7494366916, -0.359886073977, -0.750963160797, -0.742292921364, -0.732490986137, -0.728481441819, -0.359886073977
beta_338, 0.309134412205, 0.0614724677429, 0.00601655528122, 0.265248240464, 0.42313645347, 0.265078729382, 0.275528097093, 0.282649843021, 0.291745853087, 0.42313645347
beta_339, 0.669142198265, 0.027158850133, 0.00237837719567, 0.661160246825, 0.689346862373, 0.582688898876, 0.668199651931, 0.669587232798, 0.683417192679, 0.689280701867
