,,,Salary,Salary,Salary,Salary,Salary,Salary,,
251,Tyler Zeller,BOS,$2616975,,,,,,1st Round Pick,$2616975
252,Frank Kaminsky,CHO,$2612500,$2730000,$2847600,$3627842,,,1st round pick,$5342500
253,C.J. McCollum,POR,$2525160,$3219579,,,,,1st Round Pick,$5744739
254,Elfrid Payton,ORL,$2505720,$2613600,$3332340,,,,1st Round Pick,$5119320
255,James Johnson,TOR,$2500000,,,,,,Cap Space,$2500000
256,Leandro Barbosa,GSW,$2500000,,,,,,Mini MLE,$2500000
257,Joel Anthony,DET,$2500000,$2500000,,,,,Cap Space,$2500000
258,Terrence Jones,HOU,$2489530,,,,,,1st Round Pick,$2489530
259,Justise Winslow,MIA,$2481720,$2593440,$2705040,$3448926,,,1st round pick,$5075160
260,Shelvin Mack,UTA,$2433333,$2433334,,,,,Cap Space,$2433333
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
261,Michael Carter-Williams,MIL,$2399040,$3183526,,,,,1st Round Pick,$5582566
262,Andrew Nicholson,ORL,$2380594,,,,,,1st Round Pick,$2380594
263,Doug McDermott,CHI,$2380440,$2483040,$3294994,,,,1st Round Pick,$4863480
264,Myles Turner,IND,$2357760,$2463840,$2569920,$3410284,,,1st round pick,$4821600
265,Evan Fournier,ORL,$2288205,,,,,,1st Round Pick,$2288205
266,Donatas Motiejunas,HOU,$2288205,,,,,,1st Round Pick,$2288205
267,Steven Adams,OKC,$2279040,$3140517,,,,,1st Round Pick,$5419557
268,Jared Sullinger,BOS,$2269260,,,,,,1st Round Pick,$2269260
269,Joe Ingles,UTA,$2250000,$2250000,,,,,Cap Space,$4500000
270,Trey Lyles,UTA,$2239800,$2340600,$2441400,$3364249,,,1st round pick,$4580400
271,Tony Wroten,PHI,$2179354,,,,,,,$2179354
272,Ramon Sessions,WAS,$2170465,,,,,,BAE,$2170465
273,Beno Udrih,MIA,$2170465,,,,,,,$2170465
274,Danny Granger,DET,$2170465,,,,,,,$2170465
275,Steve Blake,DET,$2170465,,,,,,BAE,$2170465
276,Larry Sanders,MIL,$2170000,$2170000,$2170000,$2170000,$2170000,,,$15190000
277,Kelly Olynyk,BOS,$2165160,$3094014,,,,,1st Round Pick,$5259174
278,Zach LaVine,MIN,$2148360,$2240880,$3202217,,,,1st Round Pick,$4389240
279,Kendall Marshall,PHI,$2144722,$2048257,$1951743,$1855228,,,Minimum Salary,$2144722
280,Devin Booker,PHO,$2127840,$2223600,$2319360,$3314365,,,1st round pick,$4351440
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
281,Miles Plumlee,MIL,$2109294,,,,,,1st Round Pick,$2109294
282,David Lee,DAL,$2102224,,,,,,MLE,$2102224
283,Gary Neal,WAS,$2100000,,,,,,,$2100000
284,Mo Williams,CLE,$2100000,$2200000,,,,,Mini MLE,$2100000
285,Jeremy Lin,CHO,$2100000,$2200000,,,,,BAE,$2100000
286,Shabazz Muhammad,MIN,$2056920,$3046299,,,,,1st Round Pick,$5103219
287,Zoran Dragic,BOS,$2050397,,,,,,,$2050397
288,T.J. Warren,PHO,$2041080,$2128920,$3152931,,,,1st Round Pick,$4170000
289,Perry Jones,BOS,$2038206,,,,,,,$2038206
290,Cameron Payne,OKC,$2021520,$2112480,$2203440,$3263295,,,1st round pick,$4134000
291,Festus Ezeli,GSW,$2008748,,,,,,1st Round Pick,$2008748
292,DeJuan Blair,PHO,$2000000,$2000000,,,,,,$2000000
293,Aaron Brooks,CHI,$2000000,,,,,,Mini MLE,$2000000
294,Kent Bazemore,ATL,$2000000,,,,,,,$2000000
295,Giannis Antetokounmpo,MIL,$1953960,$2995421,,,,,1st Round Pick,$4949381
296,Adreian Payne,MIN,$1938840,$2022240,$3100094,,,,1st Round Pick,$3961080
297,Kelly Oubre,WAS,$1920240,$2006640,$2093040,$3208630,,,1st round pick,$3926880
298,Lucas Nogueira,TOR,$1842000,$1921320,$2947305,,,,1st Round Pick,$3763320
299,Jusuf Nurkic,DEN,$1842000,$1921320,$2947305,,,,1st Round Pick,$3763320
300,Terry Rozier,BOS,$1824360,$1906440,$1988520,$3050390,,,1st round pick,$3730800
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
301,Dennis Schroder,ATL,$1763400,$2708582,,,,,1st Round Pick,$4471982
302,James Young,BOS,$1749840,$1825200,$2803507,,,,1st Round Pick,$3575040
303,Rashad Vaughn,MIL,$1733040,$1811040,$1889040,$2901565,,,,$3544080
