Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
39,39,1972-01-03,24-262,MIL,@,NYK,L (-2),,,14,,,,,,10,15,.667,,,,,,,,,38,\
40,40,1972-01-04,24-263,MIL,,NYK,W (+21),,,15,,,,,,6,9,.667,,,,,,,,,36,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
41,41,1972-01-05,24-264,MIL,@,CIN,W (+9),,,18,,,,,,4,4,1.000,,,,,,,,,40,\
42,42,1972-01-08,24-267,MIL,,DET,W (+17),,,15,,,,,,6,6,1.000,,,,,,,,,36,\
43,43,1972-01-09,24-268,MIL,,LAL,W (+16),,,18,,,,,,3,5,.600,,,,,,,,,39,\
44,44,1972-01-11,24-270,MIL,,PHO,L (-1),,,10,,,,,,7,11,.636,,,,,,,,6,27,\
45,45,1972-01-12,24-271,MIL,@,ATL,L (-2),,,10,,,,,,6,6,1.000,,,,,,,,,26,\
46,46,1972-01-14,24-273,MIL,,CHI,W (+27),,,12,,,,,,7,13,.538,,,,,,,,,31,\
47,47,1972-01-16,24-275,MIL,,POR,W (+29),,,12,,,,,,5,9,.556,,,,,,,,,29,\
48,48,1972-01-21,24-280,MIL,,CLE,W (+29),,,11,,,,,,7,9,.778,,,,,,,,,29,\
49,49,1972-01-23,24-282,MIL,,ATL,L (-5),,,15,,,,,,3,6,.500,,,,,,,,,33,\
