Player,Tm,2015-16,DRtg,ORtg
Lamar Patterson,Atlanta Hawks,525093,105,89
Cristiano Felicio,Chicago Bulls,525090,104,123
Jimmer Fredette,San Antonio Spurs,507711,116,151
Cory Jefferson,Phoenix Suns,370000,110,105
Elijah Millsap,Utah Jazz,362878,102,89
Nazr Mohammed,Oklahoma City Thunder,352750,110,91
Kostas Papanikolaou,Denver Nuggets,350000,109,83
Ryan Hollins,Memphis Grizzlies,336716,111,117
Michael Beasley,Houston Rockets,306527,107,108
Bryce Cotton,Phoenix Suns,228663,118,200
Christian Wood,Philadelphia 76ers,222392,107,107
Andrew Goudelock,Houston Rockets,200600,103,83
Jorge Gutierrez,Charlotte Hornets,190000,105,124
Jeff Ayres,Los Angeles Clippers,187750,106,105
Phil Pressey,Philadelphia 76ers,172739,108,89
Bryce Dejean-Jones,New Orleans Pelicans,169883,110,99
Jordan McRae,Cleveland Cavaliers,142084,111,111
Greg Smith,Minnesota Timberwolves,128161,111,105
Jordan Farmar,Memphis Grizzlies,111683,109,103
Henry Sims,Brooklyn Nets,111452,107,104
Lorenzo Brown,Phoenix Suns,111444,108,72
Keith Appling,Orlando Magic,100000,110,57
Erick Green,Denver Nuggets,100000,114,123
Justin Harper,Detroit Pistons,99418,110,100
Sean Kilpatrick,Denver Nuggets,99418,115,110
Chuck Hayes,Houston Rockets,83583,107,79
Alan Williams,Phoenix Suns,83397,97,103
Elliot Williams,Charlotte Hornets,80000,115,86
J.J. O'Brien,Utah Jazz,75000,89,0
Thanasis Antetokounmpo,New York Knicks,75000,110,140
Xavier Munford,Memphis Grizzlies,61776,107,92
Alex Stepheson,Los Angeles Clippers,61776,108,113
Axel Toupane,Denver Nuggets,61776,111,106
Coty Clarke,Boston Celtics,61776,108,96
Jordan Hamilton,New Orleans Pelicans,59731,110,98
Orlando Johnson,Phoenix Suns,55722,113,89
Nate Robinson,New Orleans Pelicans,44000,113,121
Briante Weber,Memphis Grizzlies,30888,107,203
Dahntay Jones,Cleveland Cavaliers,8819,104,106
