,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Year,diff
348,New Orleans Pelicans,94.0,Chicago Bulls,98.0,2016,-4.0
349,Boston Celtics,98.0,Charlotte Hornets,93.0,2016,5.0
350,Washington Wizards,114.0,Dallas Mavericks,111.0,2016,3.0
351,Indiana Pacers,96.0,Detroit Pistons,118.0,2016,-22.0
352,Los Angeles Lakers,97.0,Houston Rockets,126.0,2016,-29.0
353,Golden State Warriors,95.0,Milwaukee Bucks,108.0,2016,-13.0
354,New York Knicks,112.0,Portland Trail Blazers,110.0,2016,2.0
355,Memphis Grizzlies,97.0,Miami Heat,100.0,2016,-3.0
356,Utah Jazz,98.0,Oklahoma City Thunder,104.0,2016,-6.0
357,Minnesota Timberwolves,101.0,Phoenix Suns,108.0,2016,-7.0
358,Philadelphia 76ers,76.0,Toronto Raptors,96.0,2016,-20.0
359,Miami Heat,100.0,Atlanta Hawks,88.0,2016,12.0
360,Orlando Magic,105.0,Brooklyn Nets,82.0,2016,23.0
361,Philadelphia 76ers,96.0,Chicago Bulls,115.0,2016,-19.0
362,Phoenix Suns,94.0,Dallas Mavericks,104.0,2016,-10.0
363,Houston Rockets,108.0,Denver Nuggets,114.0,2016,-6.0
364,Los Angeles Clippers,105.0,Detroit Pistons,103.0,2016,2.0
365,Toronto Raptors,90.0,Indiana Pacers,106.0,2016,-16.0
366,Washington Wizards,95.0,Memphis Grizzlies,112.0,2016,-17.0
367,New Orleans Pelicans,101.0,Portland Trail Blazers,105.0,2016,-4.0
368,Utah Jazz,81.0,San Antonio Spurs,118.0,2016,-37.0
369,Cleveland Cavaliers,89.0,Boston Celtics,77.0,2016,12.0
370,Milwaukee Bucks,95.0,Los Angeles Lakers,113.0,2016,-18.0
371,Denver Nuggets,112.0,Minnesota Timberwolves,100.0,2016,12.0
372,Houston Rockets,97.0,Sacramento Kings,107.0,2016,-10.0
373,Philadelphia 76ers,106.0,Atlanta Hawks,127.0,2016,-21.0
374,Miami Heat,104.0,Brooklyn Nets,98.0,2016,6.0
375,Memphis Grizzlies,85.0,Chicago Bulls,98.0,2016,-13.0
376,Boston Celtics,116.0,Detroit Pistons,119.0,2016,-3.0
