Player,Tm,2015-16,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Tm_Index
George Hill,Indiana Pacers,8000000,PG,29,74,73,2524,6.4,14.6,0.441,2.5,6.2,0.406,3.9,8.4,0.466,2.2,3.0,0.76,1.1,4.7,5.9,5.1,1.6,0.3,2.0,2.9,17.6,112.0,106.0,28
Jeff Teague,Atlanta Hawks,8000000,PG,27,79,78,2255,9.5,21.7,0.439,2.4,6.0,0.4,7.1,15.6,0.454,5.7,6.8,0.837,0.7,4.0,4.7,10.3,2.1,0.5,4.8,3.7,27.2,105.0,104.0,26
Ersan Ilyasova,Orlando Magic,7900000,PF,28,74,56,1881,7.5,17.7,0.424,2.6,6.9,0.371,4.9,10.8,0.458,3.0,4.1,0.721,3.9,6.9,10.8,1.8,1.4,0.9,1.9,4.6,20.5,109.0,106.0,8
Channing Frye,Cleveland Cavaliers,7807579,PF-C,32,70,32,1200,6.4,14.6,0.438,3.8,9.9,0.387,2.6,4.7,0.545,1.3,1.5,0.857,1.5,8.4,9.9,3.0,1.2,1.2,1.8,5.3,17.9,113.0,106.0,25
Avery Bradley,Boston Celtics,7730337,SG,25,76,72,2536,8.8,19.6,0.447,2.8,7.8,0.361,5.9,11.8,0.505,1.8,2.4,0.78,0.9,3.3,4.2,3.0,2.2,0.4,2.1,3.2,22.2,105.0,106.0,6
Kosta Koufos,Sacramento Kings,7500000,C,26,78,14,1482,7.6,14.4,0.532,0.0,0.0,,7.6,14.4,0.532,1.8,3.4,0.548,5.5,8.2,13.7,1.1,1.3,2.3,1.6,6.0,17.1,113.0,107.0,23
Al-Farouq Aminu,Portland Trail Blazers,7500000,SF,25,82,82,2341,6.4,15.4,0.416,2.7,7.5,0.361,3.7,7.9,0.468,2.5,3.3,0.737,2.1,8.6,10.7,2.9,1.5,1.1,2.6,3.7,17.9,105.0,107.0,9
Pau Gasol,Chicago Bulls,7448760,C,35,72,72,2291,10.2,21.8,0.469,0.5,1.5,0.348,9.7,20.3,0.478,5.0,6.3,0.792,3.4,14.0,17.4,6.4,0.9,3.2,3.6,3.2,26.0,107.0,101.0,11
Jose Calderon,New York Knicks,7402812,PG,34,72,72,2024,5.3,11.6,0.459,2.1,5.2,0.414,3.2,6.4,0.496,1.1,1.2,0.875,0.6,5.3,5.8,7.6,1.6,0.2,2.2,3.4,13.8,114.0,109.0,0
Kevin Martin,Minnesota Timberwolves,7085000,SG,32,55,13,1095,7.2,19.4,0.372,2.3,6.3,0.36,4.9,13.1,0.378,7.1,7.9,0.89,0.6,4.4,5.1,2.7,1.2,0.1,2.5,3.8,23.7,103.0,111.0,15
